21/1/2022 12:00:00 AM,50.5,Groceries
13/3/2022 12:00:00 AM,100,Utilities
22/1/2022 12:00:00 AM,150,Rent
30/1/2022 12:00:00 AM,200,Gas
23/11/2022 12:00:00 AM,75,Entertainment
24/10/2022 12:00:00 AM,250,Groceries
25/12/2022 12:00:00 AM,300,Car Payment
26/11/2022 12:00:00 AM,350,Gas
11/1/2022 12:00:00 AM,400,Rent
8/1/2022 12:00:00 AM,450,Groceries
9/1/2022 12:00:00 AM,500,Insurance
10/1/2022 12:00:00 AM,550,Utilities
11/1/2022 12:00:00 AM,600,Gym Membership
12/1/2022 12:00:00 AM,650,Holiday Shopping
2/1/2023 12:00:00 AM,45.5,Groceries
1/12/2023 12:00:00 AM,21,Gas
